competitions_id,teamId,team_rank,totalTeams,profile_id_str,flags,team_capacity,members_num,avg_abi,avg_qua,avg_par,country_num
5048,326793,85,1438,wenluzhang;rongjian;taozeng2015,1,94.09 ,3,0.31 ,2178.00 ,3.00 ,1
5229,326849,9,399,farstars;youngpark,1,97.74 ,2,0.74 ,2542.50 ,7.50 ,1
5144,326874,641,922,actlaii;erfy1801,1,30.48 ,2,0.03 ,1932.00 ,4.00 ,2
14239,3269370,765,1832,elroyz;hitklif,1,58.24 ,2,0.28 ,1498.50 ,13.00 ,1
3288,32697,2,223,naokazumizuta;ildefons,1,99.10 ,2,6.86 ,3687.00 ,35.50 ,1
12500,3271253,101,3165,lijunleozhang;srinath1993,1,96.81 ,2,0.60 ,1591.50 ,5.00 ,1
3288,32721,62,223,itamar0;alessandrosena;rloliveirajr;leosr80925;thalesfc,1,72.20 ,5,0.26 ,3147.60 ,3.60 ,1
14313,3272726,1236,2749,arsalminhaji;iamsiraj,1,55.04 ,2,0.05 ,1653.50 ,5.50 ,1
14313,3272958,695,2749,lucifer19;szecsip,1,74.72 ,2,1.82 ,1394.50 ,20.50 ,1
14313,3273294,1045,2749,alexanderzv;yakovlev56,1,61.99 ,2,0.08 ,1356.50 ,14.00 ,1
5056,327365,29,1971,walraaf;hvdboorn,1,98.53 ,2,0.16 ,1933.00 ,1.00 ,1
12500,3274191,1,3165,sh73ch;bolkonsky;nprokoptsev,1,99.97 ,3,3.39 ,1563.33 ,22.00 ,1
5048,327682,690,1438,gbrello;bisharakorkor,1,52.02 ,2,0.23 ,2314.50 ,7.50 ,1
14313,3277492,2437,2749,adrianlorenzo;kevinrosalesdev,1,11.35 ,2,0.07 ,779.00 ,2.00 ,1
14315,3278422,459,558,ackusingh;dileepschauhan,1,17.74 ,2,0.06 ,889.50 ,3.50 ,1
14315,3278584,333,558,pandapool;sovitrath,1,40.32 ,2,0.12 ,866.50 ,7.00 ,1
14239,3281347,757,1832,pdmp22;dmintry,1,58.68 ,2,0.37 ,1070.00 ,14.50 ,1
5048,328149,1069,1438,opanichev;igorkrashenyi;bodilowsky,1,25.66 ,3,3.84 ,2283.67 ,47.67 ,1
14313,3285525,393,2749,lucamassaron;pietromarinelli;arthurllau,1,85.70 ,3,9.08 ,2810.00 ,136.33 ,2
5144,328932,80,922,ilkoretskiy;igorivanov,1,91.32 ,2,0.18 ,2531.00 ,1.00 ,1
